Student_ID,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1000,Female,22,Engineering,52.29,55.03,57.82,84.22,74.06,3.99,85.9,F,6.2,No,Yes,Medium,5,4.7
S1001,Male,18,Engineering,97.27,97.23,45.8,74.79867276377426,94.24,8.32,55.65,A,19.0,No,Yes,Medium,4,9.0
S1002,Male,24,Business,57.19,67.05,93.68,67.7,85.7,5.05,73.79,D,20.7,No,Yes,Low,6,6.2
S1003,Female,24,Mathematics,95.15,47.79,80.63,66.06,93.51,6.54,92.12,A,24.8,Yes,Yes,High,3,6.7
S1004,Female,23,CS,54.18,46.59,78.89,96.85,83.7,5.97,68.42,F,15.4,Yes,Yes,High,2,7.1
S1005,Male,21,Engineering,75.431409455843,78.85,43.53,71.4,52.2,6.38,67.29,B,8.5,Yes,Yes,High,1,5.0
S1006,Male,24,Business,57.6,66.26,89.07,84.52,98.4,2.3,93.65,F,21.3,No,Yes,Low,5,6.4
S1007,Male,19,Engineering,51.91,45.67,73.96,80.12,95.9,3.73,93.24,F,27.3,Yes,No,Medium,4,4.3
S1008,Female,21,CS,85.97,84.42,90.87,57.05,56.33,0.51,94.01,A,8.0,No,No,Low,9,8.8
S1009,Female,22,Engineering,64.01,87.96,98.47,96.98,55.63,5.88,78.6,A,9.6,No,Yes,Medium,10,6.4
S1010,Female,23,CS,85.72,83.52,97.43,67.29,76.95,4.59,97.62,A,13.2,No,Yes,Low,1,4.1
S1011,Female,20,Engineering,77.75,52.14,91.37,52.24,87.85,7.61,90.95,C,21.3,No,Yes,Low,9,7.0
S1012,Male,21,Engineering,55.44,81.39,40.66,65.02,69.11,2.06,70.78,F,18.1,No,Yes,High,8,4.5
S1013,Male,18,Business,96.61,40.64,93.14,66.78,56.82,4.37,81.48,A,22.8,No,Yes,Medium,10,7.9
S1014,Male,19,Engineering,72.62,58.31,44.5,54.64,75.53,1.81,56.09,B,5.8,No,Yes,Low,4,8.8
S1015,Male,18,CS,86.72,63.93,91.07,81.0,66.88,6.14,77.57,A,25.3,No,Yes,High,2,8.6
S1016,Female,21,CS,75.05,90.11,56.81,67.34,67.59,8.48,63.16,F,29.7,No,Yes,Low,3,6.1
S1017,Female,23,Business,80.22,63.42,76.6,81.46,82.25,7.65,64.18,F,6.2,No,No,Medium,10,7.6
S1018,Male,20,CS,65.14,40.68,42.28,50.34,94.28,9.44,56.29,B,17.4,No,Yes,Medium,9,4.8
S1019,Male,20,Engineering,60.02,61.14,86.27,99.1,77.93,9.72,67.91,D,23.5,Yes,Yes,Low,10,4.4
S1020,Male,18,CS,77.13,69.94,46.7,74.79867276377426,84.38,7.72,74.07,D,16.9,No,Yes,Medium,2,8.1
S1021,Male,22,Business,72.01,96.94,64.64,82.97,83.0,2.87,80.02,C,19.8,No,Yes,Low,8,7.5
S1022,Male,22,Engineering,69.51,96.46,89.05,85.79,77.56,2.19,65.24,C,28.0,Yes,Yes,Low,10,8.5
S1023,Female,23,CS,83.63,50.85,81.72,58.58,65.54,4.48,89.61,D,18.5,No,Yes,Low,1,8.6
S1024,Female,20,CS,84.53,51.11,40.36,55.59,68.89,9.94,76.05,A,10.9,Yes,Yes,Low,4,5.7
S1025,Male,18,Business,52.3,49.8,64.18,57.63,65.79,4.13,81.9,C,23.5,No,Yes,High,3,5.6
S1026,Male,18,Engineering,66.94,87.34,42.52,62.34,95.87,1.99,63.91,A,14.4,No,Yes,Low,10,6.2
S1027,Male,18,Business,70.59,40.36,80.41,58.41,91.33,9.44,90.71,D,12.1,Yes,Yes,Medium,2,7.3
S1028,Female,21,Business,54.84,47.63,98.14,83.7,78.97,3.86,81.21,D,11.2,Yes,Yes,Low,3,4.0
S1029,Female,23,Mathematics,61.8,72.28,79.32,71.04,95.61,6.91,93.12,A,7.0,No,Yes,High,3,6.7
S1030,Female,22,CS,52.58,54.85,53.46,76.89,94.32,7.88,58.0,F,28.3,No,Yes,Medium,9,4.1
S1031,Male,22,Mathematics,99.81,45.54,61.31,52.37,96.38,8.43,69.03,B,19.1,No,Yes,Low,3,6.3
S1032,Female,21,CS,75.431409455843,61.59,98.6,93.06,61.09,8.21,55.65,D,28.9,No,Yes,Medium,9,4.4
S1033,Male,19,CS,54.37,56.45,53.44,58.53,85.88,8.36,60.78,D,26.5,No,Yes,Low,4,6.8
S1034,Female,21,Business,51.01,70.67,73.69,68.01,80.46,6.68,69.73,F,5.8,No,Yes,Low,1,5.6
S1035,Female,23,CS,85.96,98.75,64.03,53.6,86.69,4.04,94.73,A,11.2,No,Yes,Medium,8,6.4
S1036,Female,18,CS,71.96,47.46,86.1,56.84,63.17,6.67,77.85,F,12.9,No,Yes,Low,10,8.8
S1037,Male,21,CS,89.34,62.36,92.04,83.29,84.74,8.37,66.52,A,17.2,No,Yes,Low,5,5.7
S1038,Male,18,Engineering,96.17,95.92,60.45,84.63,70.49,3.51,87.34,A,22.9,Yes,Yes,Medium,2,7.6
S1039,Female,23,Engineering,79.97,92.61,79.62,83.85,91.7,2.97,50.98,A,22.0,No,Yes,Low,9,7.4
S1040,Male,24,Business,59.36,63.66,72.94,77.61,89.77,3.44,68.5,C,29.7,No,Yes,Low,7,8.3
